(title "Pressure Coefficient")
(labels "Position" "Pressure Coefficient")

((xy/key/label "y-09")
0.621633	0.694177
0.621992	0.536348
0.623007	0.248231
0.624414	-0.0514394
0.624727	-0.113141
0.627303	-0.499374
0.62788	-0.572121
0.630874	-0.847982
0.632611	-0.967905
0.635501	-1.08647
0.638559	-1.16249
0.641418	-1.1868
0.644784	-1.19743
0.651345	-1.17405
0.660725	-1.12808
0.670247	-1.09216
0.680529	-1.06126
0.688737	-1.04132
0.697976	-1.02293
0.708041	-1.0155
0.717327	-1.02186
0.718904	-1.02381
0.724129	-1.02731
0.730889	-1.01834
0.731298	-1.01497
0.738682	-0.915241
0.746287	-0.740206
0.756323	-0.478103
0.762781	-0.381573
0.770484	-0.305245
0.780264	-0.24863
0.789137	-0.229868
0.793578	-0.226817
0.795825	-0.226092
0.805322	-0.228551
0.815291	-0.233399
0.822574	-0.23593
0.830044	-0.237492
0.839921	-0.236772
0.851233	-0.230477
0.859357	-0.224087
0.866095	-0.217665
0.867058	-0.216636
0.876115	-0.206411
0.88653	-0.192124
0.896935	-0.175886
0.907661	-0.159323
0.918944	-0.139544
0.93006	-0.120398
0.941027	-0.101473
0.951941	-0.0831783
0.960298	-0.0701208
0.969674	-0.0549453
0.979284	-0.04076
0.98939	-0.0261502
0.989487	-0.0260099
0.995671	-0.0170592
0.995671	-0.0170592
1.00342	-0.00559008
1.01279	0.00885694
1.02192	0.0230427
1.03206	0.0402852
1.04046	0.0565475
1.04594	0.0677749
1.048	0.0720875
1.05698	0.0916569
1.06638	0.113849
1.0746	0.134357
1.07586	0.137717
1.08069	0.150769
1.08601	0.165638
1.09172	0.182433
1.09634	0.195225
1.09946	0.205264
1.10218	0.213588
1.10447	0.219668
1.10692	0.227052
1.1091	0.23216
1.1098	0.223761
)
